,epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
147,10,1,0,3,0.1,13,6,0.25,0.25,12.193634271621704,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
148,10,1,0,3,0.3,5,3,0.25,0.25,7.352238655090332,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
149,10,1,0,3,0.3,5,6,0.25,0.25,10.815915822982788,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
150,10,1,0,3,0.3,13,3,0.25,0.25,8.983049154281616,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
151,10,1,0,3,0.3,13,6,0.25,0.25,14.090840816497805,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
152,10,1,0,5,0.1,5,3,0.25,0.25,8.046079397201538,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
153,10,1,0,5,0.1,5,6,0.25,0.25,9.87389636039734,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
154,10,1,0,5,0.1,13,3,0.25,0.25,10.752262115478516,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
155,10,1,0,5,0.1,13,6,0.25,0.25,13.104769706726074,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
156,10,1,0,5,0.3,5,3,0.25,0.25,8.457255363464355,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
157,10,1,0,5,0.3,5,6,0.25,0.25,10.45281147956848,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
158,10,1,0,5,0.3,13,3,0.25,0.25,10.603244304656982,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
159,10,1,0,5,0.3,13,6,0.25,0.25,13.51324224472046,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
160,10,1,1,0,0.1,5,3,0.25,0.25,9.781945943832396,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
161,10,1,1,0,0.1,5,6,0.25,0.25,11.973413467407228,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
162,10,1,1,0,0.1,13,3,0.25,0.25,11.755653858184814,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
163,10,1,1,0,0.1,13,6,0.25,0.25,14.91196060180664,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
164,10,1,1,0,0.3,5,3,0.25,0.25,10.154757022857666,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
165,10,1,1,0,0.3,5,6,0.25,0.25,12.64212703704834,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
166,10,1,1,0,0.3,13,3,0.25,0.25,11.83750867843628,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
167,10,1,1,0,0.3,13,6,0.25,0.25,15.674269199371338,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
168,10,1,1,1,0.1,5,3,0.25,0.25,10.885147094726562,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
169,10,1,1,1,0.1,5,6,0.25,0.25,13.454129219055176,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
170,10,1,1,1,0.1,13,3,0.25,0.25,12.978222131729126,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
171,10,1,1,1,0.1,13,6,0.25,0.25,17.179365873336792,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
172,10,1,1,1,0.3,5,3,0.25,0.25,11.875868797302246,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
173,10,1,1,1,0.3,5,6,0.25,0.25,13.145238637924194,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
174,10,1,1,1,0.3,13,3,0.25,0.25,13.21658706665039,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
